file,true_label,ai_percentage,confidence,strong_signals,strong_human_signals,sentence_uniformity,vocab_diversity,repetition_score,pos_pattern,ai_phrases,passive_voice,ngram_diversity,readability,punctuation_diversity,burstiness,human_indicators,semantic_coherence,statistical_outliers,transition_dependency,error_authenticity,contextual_consistency,writing_rhythm,citation_density,information_density,quote_integration_pattern,paragraph_structure,hedging_language,sentence_starter_repetition,comma_splice_runon,vocabulary_consistency,question_density,personal_anecdote,emotional_variation,cliche_usage,meta_commentary,numbered_list,sentence_complexity,slang,contractions,first_person_immediacy,filler_words,sentence_fragments,emphatic_punctuation,punctuation_chaos,informal_punctuation,direct_address,casual_time_refs,strong_opinions,burstiness_score,sentence_entropy,stylometric_signature,discourse_coherence,synonym_overuse,specificity_ratio,punctuation_rhythm,sentence_transition_quality,lexical_sophistication,paragraph_topic_consistency,self_correction,sentence_perplexity_variance
human_0.txt,human,51.2,73.4,0,0,35.7,54.0,95.0,32.5,0.0,0.0,0.0,40.0,40.0,46.4,73.0,19.8,38.0,11.2,50.0,55.0,40.0,0.0,52.7,50.0,50.0,56.0,12.5,20.0,50.0,50.0,45.0,19.8,50.0,50.0,0.0,17.9,50.0,50.0,50.0,0.0,20.0,50.0,0.0,50.0,25.0,50.0,50.0,40.0,40.0,35.0,60.0,50.0,65.0,42.0,28.0,30.0,50.0,50.0,50
human_1.txt,human,53.1,88.8,0,0,0.0,39.0,95.0,47.6,0.0,0.0,0.0,55.0,30.0,21.3,80.0,80.0,38.0,9.0,50.0,42.0,50.0,0.0,45.1,50.0,50.0,0.0,35.0,50.0,50.0,50.0,55.0,80.0,50.0,50.0,0.0,22.3,50.0,50.0,50.0,0.0,50.0,50.0,0.0,50.0,5.0,50.0,50.0,25.0,25.0,0.0,50.0,50.0,65.0,42.0,50.0,50.0,50.0,50.0,50
human_10.txt,human,50.4,75.9,0,0,8.1,30.6,95.0,25.4,0.0,0.0,0.0,40.0,30.0,14.1,77.0,26.8,38.0,0.0,50.0,55.0,45.1,0.0,28.2,50.0,50.0,0.0,20.0,40.0,50.0,25.0,55.0,26.8,50.0,50.0,0.0,20.9,35.0,50.0,1.0,35.0,35.0,35.0,0.0,30.0,25.0,25.0,50.0,25.0,40.0,35.0,45.0,50.0,50.0,42.0,45.0,62.0,50.0,50.0,50
human_100.txt,human,46.4,72.4,0,0,7.5,36.4,88.2,50.9,0.0,30.0,0.0,65.0,0.0,49.7,100.0,31.3,50.0,0.0,38.0,42.0,65.0,0.0,52.6,50.0,50.0,0.0,20.0,28.0,50.0,50.0,55.0,31.3,50.0,50.0,0.0,17.2,50.0,50.0,50.0,35.0,35.0,50.0,0.0,50.0,25.0,50.0,50.0,25.0,40.0,30.0,50.0,62.0,65.0,25.0,12.0,30.0,50.0,50.0,50
human_1000.txt,human,41.3,81.5,0,0,51.2,42.0,22.3,49.0,0.0,50.0,0.0,65.0,40.0,18.6,75.0,26.7,28.0,5.7,38.0,32.0,40.0,0.0,45.4,50.0,60.0,9.5,47.4,40.0,48.9,45.0,45.0,26.7,50.0,50.0,0.0,24.6,50.0,55.0,50.0,0.0,50.0,50.0,50.0,50.0,5.0,50.0,45.0,40.0,25.0,65.0,45.0,60.0,50.0,42.0,28.0,62.0,28.0,50.0,50
human_1001.txt,human,47.3,93.7,0,0,56.4,47.6,86.4,45.0,24.0,60.0,0.0,65.0,60.0,16.3,55.0,23.7,0.0,3.6,38.0,42.0,30.0,0.0,47.3,50.0,39.6,14.8,57.0,40.0,48.3,50.0,45.0,23.7,50.0,50.0,0.0,24.3,50.0,55.0,25.0,0.0,35.0,50.0,30.0,50.0,0.0,25.0,50.0,40.0,25.0,65.0,45.0,99.0,50.0,60.0,28.0,62.0,28.0,50.0,50
human_1002.txt,human,38.7,83.9,0,0,37.5,38.2,18.2,38.7,36.0,30.0,0.0,65.0,40.0,26.6,28.0,22.0,0.0,1.9,0.0,42.0,28.8,0.0,37.0,50.0,34.7,18.6,50.6,12.0,50.0,30.0,45.0,22.0,50.0,50.0,0.0,16.3,50.0,55.0,35.0,0.0,35.0,35.0,30.0,30.0,0.0,25.0,50.0,40.0,25.0,65.0,45.0,62.0,50.0,42.0,45.0,62.0,28.0,50.0,50
human_1003.txt,human,47.4,87.6,0,0,35.8,60.5,95.0,41.8,12.0,30.0,0.0,40.0,50.0,23.7,28.0,23.9,10.4,0.0,0.0,55.0,28.4,0.0,30.6,50.0,25.5,10.3,40.0,20.0,50.0,45.0,45.0,23.9,50.0,50.0,0.0,23.1,50.0,55.0,1.0,0.0,50.0,35.0,30.0,50.0,5.0,25.0,45.0,40.0,25.0,35.0,45.0,62.0,50.0,42.0,28.0,50.0,28.0,50.0,50
human_1004.txt,human,47.7,83.8,0,0,0.0,67.7,91.2,36.9,12.0,10.0,0.0,65.0,50.0,31.5,52.0,38.7,0.0,0.0,0.0,55.0,31.4,0.0,33.5,50.0,53.8,0.0,42.7,28.0,50.0,45.0,55.0,38.7,50.0,50.0,0.0,31.1,50.0,55.0,50.0,0.0,50.0,50.0,50.0,30.0,25.0,50.0,50.0,25.0,25.0,30.0,60.0,50.0,30.0,42.0,28.0,50.0,28.0,50.0,50
human_1005.txt,human,46.5,87.7,0,0,44.7,47.7,90.0,45.2,12.0,90.0,0.0,65.0,50.0,28.2,71.0,26.7,28.0,3.1,38.0,42.0,48.8,0.0,39.8,50.0,60.0,26.0,70.0,28.0,49.4,45.0,45.0,26.7,50.0,50.0,0.0,24.4,50.0,55.0,50.0,20.0,50.0,50.0,30.0,50.0,50.0,50.0,45.0,40.0,25.0,65.0,45.0,62.0,30.0,42.0,43.0,50.0,28.0,50.0,50
